地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数
四川,2003,4683.5,1.32,5346.2,61.8222,4621.6778
贵州,2003,2145.0,2.54,1429.0,54.483000000000004,2090.517
云南,2003,2353.33,0.58,2633.4,13.649313999999999,2339.680686
西藏,2003,132.81,0.07,186.0,0.09296700000000001,132.71703300000001
陕西,2003,1912.1,2.25,2587.7,43.02224999999999,1869.07775
甘肃,2003,1510.85,1.51,1399.9,22.813834999999997,1488.036165
青海,2003,289.8,1.88,385.0,5.448239999999999,284.35176
宁夏,2003,291.4,1.66,442.6,4.8372399999999995,286.56275999999997
新疆,2003,721.27,4.95,1889.2,35.702865,685.567135
北京,2004,854.07,16.27,6252.5,138.957189,715.1128110000001
天津,2004,527.78,7.57,2621.1,39.952946,487.827054
河北,2004,3516.71,2.26,7588.6,79.477646,3437.232354
山西,2004,1474.61,2.08,3496.0,30.671888,1443.9381119999998
内蒙古,2004,1026.1,2.29,2942.4,23.49769,1002.6023099999999
辽宁,2004,2097.3,2.94,6469.8,61.66062000000001,2035.63938
吉林,2004,1222.0,2.32,2455.2,28.3504,1193.6496
黑龙江,2004,1681.06,1.39,4134.7,23.366733999999997,1657.693266
上海,2004,836.87,10.56,8101.6,88.373472,748.496528
江苏,2004,4537.07,1.81,14823.1,82.12096700000001,4454.949033
浙江,2004,2991.95,3.75,11482.1,112.198125,2879.751875
安徽,2004,3605.2,1.68,5129.1,60.56736,3544.63264
福建,2004,1886.0,2.25,5712.1,42.435,1843.565
江西,2004,2213.98,1.45,3398.1,32.102709999999995,2181.87729
山东,2004,5622.4,2.18,13308.1,122.56832,5499.831679999999
河南,2004,5587.45,1.45,8411.2,81.018025,5506.4319749999995
湖北,2004,3507.0,1.58,5546.8,55.4106,3451.5894
湖南,2004,3747.1,1.45,5542.6,54.332950000000004,3692.76705
广东,2004,4681.89,1.95,18658.3,91.296855,4590.593145000001
广西,2004,2631.78,1.63,3305.1,42.898014,2588.8819860000003
海南,2004,367.74,1.83,802.7,6.729642,361.010358
重庆,2004,1471.34,1.27,3059.5,18.686018,1452.6539819999998
四川,2004,4691.0,1.05,6304.0,49.255500000000005,4641.7445
贵州,2004,2186.0,1.85,1649.4,40.441,2145.559
云南,2004,2401.39,1.54,3136.4,36.981406,2364.408594
西藏,2004,137.3217,0.0,217.9,0.0,137.3217
陕西,2004,1941.1,3.04,3141.6,59.00944,1882.0905599999999
甘肃,2004,1520.46,2.18,1653.6,33.146028,1487.313972
青海,2004,290.42,1.81,443.7,5.256602,285.16339800000003
宁夏,2004,298.1,2.97,519.9,8.853570000000001,289.24643000000003
新疆,2004,744.49,3.45,2170.4,25.684905000000004,718.805095
北京,2005,878.0,16.385,7149.8,143.8603,734.1397
天津,2005,542.52,6.488,3158.6,35.1986976,507.3213024
河北,2005,3568.97,1.81,8773.4,64.598357,3504.371643
山西,2005,1500.2,2.254,4079.4,33.814508000000004,1466.385492
内蒙古,2005,1041.13,2.995,3523.7,31.181843500000003,1009.9481565000001
辽宁,2005,2120.3,3.552,7260.8,75.313056,2044.9869440000002
吉林,2005,1238.9,2.996,2776.5,37.117444,1201.782556
黑龙江,2005,1748.8,2.702,4756.4,47.252576,1701.5474239999999
上海,2005,863.32,10.54,9197.1,90.993928,772.3260720000001
江苏,2005,4578.75,2.754,18121.3,126.098775,4452.651225
浙江,2005,3100.76,2.351,13028.3,72.8988676,3027.8611324000003
安徽,2005,3669.72,1.534,5675.9,56.2935048,3613.4264952
福建,2005,1923.0,2.425,6415.5,46.632749999999994,1876.36725
