地区,高学历人数占比
北京,44.732994236052036
天津,30.806589514017105
河北,9.53098376840353
山西,12.218328032642603
内蒙古,15.093787245452404
辽宁,16.704669499769807
吉林,12.543939612805843
黑龙江,12.543269934132695
上海,38.109335171058774
江苏,14.46650730445981
浙江,14.372412785887718
安徽,10.359351402148604
福建,11.98296308517456
江西,10.247252751141787
山东,9.363710571080446
河南,7.6647530272603035
湖北,11.197781916707754
湖南,10.219200866296887
广东,14.283345768693835
广西,8.890457903966308
海南,12.094431584700942
重庆,12.388460397720337
四川,9.668370543047786
贵州,9.05587510485202
云南,8.492006281390786
西藏,10.874416086357087
陕西,11.306332075968385
甘肃,9.500149130821228
青海,13.959498621057719
宁夏,15.68514072149992
新疆,11.291872397065163
